"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"R27","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","63.5mm","63.975mm","63.5mm","63.975mm","63.5mm","62.95mm","T","90","100k",
"R28","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","73.725mm","35.0mm","73.725mm","35.0mm","74.75mm","35.0mm","T","180","10k",
"R29","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","73.75mm","52.725mm","73.75mm","52.725mm","73.75mm","53.75mm","T","270","10k",
"R3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","53.05mm","17.425mm","53.05mm","17.425mm","53.05mm","16.4mm","T","90","100k",
"R30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","20.775mm","66.3mm","20.775mm","66.3mm","19.75mm","66.3mm","T","0","10k",
"R31","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","23.375mm","69.8mm","23.375mm","69.8mm","22.35mm","69.8mm","T","0","10k",
"R32","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","80.0mm","44.75mm","80.0mm","44.75mm","78.975mm","44.75mm","T","0","10k",
"R33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","26.325mm","66.2mm","26.325mm","66.2mm","25.3mm","66.2mm","T","0","10k",
"R34","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","28.525mm","69.8mm","28.525mm","69.8mm","27.5mm","69.8mm","T","0","10k",
"R35","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","50.98mm","74.82mm","50.98mm","74.82mm","50.98mm","75.845mm","T","270","10k",
"R36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","53.93mm","74.745mm","53.93mm","74.745mm","53.93mm","73.72mm","T","90","10k",
"R37","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","37.58mm","16.395mm","37.58mm","16.395mm","37.58mm","15.37mm","T","90","1k",
"R38","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","60.25mm","74.275mm","60.25mm","74.275mm","60.25mm","73.25mm","T","90","10k",
"R39","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","85.725mm","10.75mm","85.725mm","10.75mm","86.75mm","10.75mm","T","180","10k",
"R4","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","56.29mm","12.375mm","56.29mm","12.375mm","56.29mm","11.35mm","T","90","10k",
"R40","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","40.78mm","16.445mm","40.78mm","16.445mm","40.78mm","15.42mm","T","90","1k",
"R41","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","82.0mm","11.75mm","82.0mm","11.75mm","82.0mm","12.775mm","T","270","10k",
"R42","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","43.98mm","16.345mm","43.98mm","16.345mm","43.98mm","15.32mm","T","90","1k",
"R43","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","33.31mm","65.805mm","33.31mm","65.805mm","33.31mm","64.78mm","T","90","1M",
"R44","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","17.375mm","61.7mm","17.375mm","61.7mm","16.35mm","61.7mm","T","0","510R",
"R45","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","65.725mm","45.25mm","65.725mm","45.25mm","64.7mm","45.25mm","T","0","10k",
